,Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price
84,41 King's Road,Notting Hill,4,2,-1.320536684,1.3778413432640901,0,1,1,0,2,1,1,4,3,0,-1.20847748
85,126 Park Lane,Greenwich,2,3,0.2304610265515462,-0.480618318,0,1,2,0,3,0,3,4,1,2,-0.85804287
86,77 Oxford Street,Chelsea,5,2,1.7125255059827125,-1.616343666,1,0,2,1,0,0,2,3,3,2,3.5716940745230765
87,28 Oxford Street,Soho,5,3,-0.803537447,0.41419559301069864,0,1,3,2,3,2,1,4,3,2,-0.781887058
88,169 Strand,Greenwich,4,2,0.9370266504664045,-0.755945675,0,1,3,0,2,2,3,2,3,0,-0.547050359
89,183 Fleet Street,Greenwich,1,3,1.7125255059827125,-1.650759586,0,0,3,0,2,1,2,2,2,2,-0.205717947
90,140 Park Lane,Westminster,4,1,-0.596737753,-1.409848149,1,1,2,2,3,1,0,4,2,2,-0.210269046
91,72 Fleet Street,Camden,3,3,0.7474602635624181,0.1732841554473508,1,0,2,1,1,2,3,2,2,0,0.7602527774358306
92,146 King's Road,Islington,4,2,-0.631204368,0.75835479,1,0,1,2,2,1,0,2,0,1,-0.860165958
93,19 Fleet Street,Islington,1,2,-0.941403911,1.2401776646564626,0,1,1,2,2,2,2,0,2,2,-1.056773427
94,197 King's Road,Greenwich,3,2,-1.096503682,-0.377370559,0,0,2,2,1,0,1,3,3,0,-1.311634961
95,151 Fleet Street,Soho,4,1,-1.079270374,0.6206911109221397,1,0,3,0,0,1,3,1,2,2,-1.170550898
96,139 Fleet Street,Islington,5,1,-1.234370145,-0.893609354,0,1,2,1,3,2,3,2,3,0,-1.029466834
97,44 Strand,Camden,2,3,0.45449402925625737,-1.444264068,1,1,2,2,0,0,0,1,3,2,-0.011842275
98,154 Fleet Street,Kensington,3,1,-1.458403148,-0.824777514,1,1,1,0,1,0,0,4,0,2,-1.157656497
99,76 Fleet Street,Shoreditch,1,2,0.6268271082598814,-1.031273032,1,0,2,0,3,0,0,1,1,2,-0.54249926
100,60 Fleet Street,Greenwich,2,1,0.42002741345553257,0.31094783405497817,0,0,1,2,1,1,0,0,0,1,-0.510641569
101,185 Park Lane,Marylebone,4,3,0.7474602635624181,0.7927707091816738,0,0,3,1,1,0,2,1,3,0,1.199433814
102,82 Camden High Street,Chelsea,1,1,0.058127948,0.13886823579544397,0,1,1,1,0,0,3,2,0,1,1.3871666401210077
103,66 Piccadilly Circus,Notting Hill,3,3,0.4717273371566198,0.035620476839723456,0,1,1,1,1,1,0,4,2,2,1.1277540072857621
104,135 Piccadilly Circus,Shoreditch,3,2,1.298926116374015,-1.650759586,1,1,3,0,3,0,1,3,0,2,-0.217095695
105,53 Baker Street,Chelsea,1,2,1.4195592716765517,1.4122572629159968,1,0,3,0,0,2,1,3,0,0,1.4250920843766974
106,146 Piccadilly Circus,Greenwich,2,3,-1.579036303,-0.102043202,1,0,1,0,0,0,1,2,3,2,-1.654485164
107,188 Strand,Shoreditch,5,2,0.2993942581529958,0.5862751912702329,0,1,2,2,3,2,3,4,2,2,-0.422351389
108,138 Strand,Greenwich,4,2,-1.716902766,1.3778413432640901,0,1,2,1,0,2,3,3,2,1,-1.525536606
109,163 Regent Street,Chelsea,3,2,-0.613971061,0.10445231614353713,1,0,3,2,3,2,2,1,3,2,-0.019122896
110,100 Park Lane,Soho,5,2,-1.182670221,0.6551070305740465,0,0,3,2,1,1,2,0,0,1,-1.062234746
111,81 Oxford Street,Greenwich,1,3,-1.217136837,-0.30853872,1,1,1,2,3,0,0,0,1,1,-1.375350345
112,76 Oxford Street,Marylebone,4,2,-1.699669458,-0.824777514,1,0,1,2,2,0,1,4,2,2,-1.398105839
113,54 Park Lane,Chelsea,3,1,0.6612937240606062,0.070036396,0,0,3,1,3,2,2,3,3,1,2.183608933913429
114,84 Bond Street,Islington,4,2,-0.924170603,-1.375432229,1,0,2,1,1,2,2,2,3,2,-0.783707498
115,54 Regent Street,Camden,1,2,-1.337769992,1.3090095039602765,1,1,1,1,0,0,2,0,0,2,-1.029466834
116,76 Regent Street,Notting Hill,5,3,-1.372236608,1.5155050218717174,0,0,3,1,3,1,3,4,2,1,-0.820116288
117,18 King's Road,Greenwich,5,1,-0.355471442,-1.031273032,1,1,2,0,3,2,2,1,2,1,-1.115937712
118,13 Bond Street,Camden,1,2,-0.769070832,-0.102043202,0,0,1,1,0,2,0,4,0,2,-0.541362623
119,185 Camden High Street,Soho,3,2,0.2821609502526334,0.070036396,1,0,1,0,3,2,1,0,2,2,-0.331632061
120,91 King's Road,Marylebone,1,3,-0.062505208,-0.033211362,0,1,1,1,2,1,3,2,1,0,0.3973026464075703
121,145 Camden High Street,Marylebone,3,3,-0.493337905,-0.652697916,1,1,1,0,3,1,1,2,2,1,-0.717716565
122,196 King's Road,Islington,2,2,0.5751271845587942,-1.547511827,0,0,1,1,1,2,2,3,2,0,0.4041292946400768
123,180 Regent Street,Greenwich,1,2,-1.544569687,-0.170875041,1,1,2,2,3,1,1,1,3,0,-1.5482921
124,17 Strand,Islington,1,3,-0.78630414,-1.650759586,0,0,2,1,1,0,0,0,0,0,-0.674481126
125,196 Baker Street,Camden,5,1,-1.68243615,-1.065688952,0,1,2,0,1,0,1,0,3,0,-1.581667583
126,57 Piccadilly Circus,Camden,5,3,-0.958637219,-1.375432229,0,0,2,1,2,0,1,2,0,0,-0.704063268
127,158 Park Lane,Kensington,4,2,0.8508601109645926,0.551859272,0,1,3,2,2,1,2,0,3,1,1.3471158327155976
128,170 Fleet Street,Notting Hill,2,3,1.2472261926729278,1.618752780827438,0,0,3,0,3,0,0,3,1,2,0.5998265439719288
129,55 Baker Street,Islington,1,1,1.6091256585805382,1.5155050218717174,1,0,2,1,0,0,1,0,0,0,1.2233270825408527
130,74 Camden High Street,Kensington,1,3,0.2304610265515462,-0.411786479,0,1,3,1,0,0,0,2,3,0,1.4292643042214643
131,85 Park Lane,Greenwich,2,1,-0.872470679,-0.30853872,0,1,2,1,0,1,1,1,1,2,-0.968027
132,16 Piccadilly Circus,Notting Hill,4,3,-1.372236608,0.8960184681373944,0,1,3,1,3,2,3,0,1,0,-0.820116288
133,115 Strand,Chelsea,4,1,0.6612937240606062,-1.27218447,1,1,2,0,2,2,3,3,3,1,0.7575972112733856
134,131 Fleet Street,Westminster,4,2,1.6091256585805382,-1.478679988,1,0,2,0,3,0,3,4,0,1,1.2233270825408527
135,62 Bond Street,Shoreditch,4,3,1.3333927321747399,0.6895229502259533,1,1,3,0,2,1,0,2,2,2,-0.200409091
136,94 Regent Street,Soho,3,2,-1.596269611,0.9304343877893012,1,1,1,0,0,2,2,2,1,1,-1.489127815
137,35 Strand,Westminster,3,2,0.69576034,0.7239388698778602,0,0,2,2,2,2,3,1,1,1,1.0185276355656585
138,102 Camden High Street,Shoreditch,3,1,0.2476943344519086,1.3090095039602765,0,0,1,0,1,2,0,1,3,1,-0.726061005
139,87 Regent Street,Shoreditch,5,3,-0.958637219,1.6875846201312517,0,1,2,2,2,0,2,1,2,1,-1.15325786
140,110 King's Road,Marylebone,4,2,-0.958637219,1.1369299057007423,1,1,2,1,2,0,2,3,3,1,-0.490161624
141,174 Park Lane,Islington,5,3,1.4884925032780014,-0.687113836,0,0,2,2,2,1,2,4,2,1,0.48331841413715176
142,58 Oxford Street,Marylebone,4,2,-1.079270374,-1.341016309,0,0,1,0,3,1,1,0,3,0,-1.104559965
143,67 Piccadilly Circus,Westminster,2,1,-1.182670221,0.7239388698778602,1,1,3,2,1,0,2,3,1,1,-0.767323542
144,23 Strand,Shoreditch,4,1,1.436792579576914,1.0680980663969286,0,0,2,1,3,2,2,4,0,0,0.8216926115283889
145,40 Camden High Street,Islington,3,2,-1.699669458,0.20770007509925764,1,0,1,1,2,1,1,1,1,0,-1.398105839
146,120 Park Lane,Shoreditch,2,2,-1.130970298,-0.515034238,0,0,3,1,1,2,3,0,1,1,-1.043120131
147,64 Piccadilly Circus,Marylebone,5,1,-1.699669458,-1.581927747,0,0,1,2,2,2,1,3,2,0,-1.398105839
148,50 Regent Street,Soho,3,3,-1.02757045,0.8960184681373944,0,0,2,0,1,1,1,4,1,0,-1.138693206
149,130 Bond Street,Notting Hill,1,1,-0.78630414,0.001204557,1,0,3,2,1,2,2,0,2,0,-0.579819408
150,82 King's Road,Camden,4,3,-1.010337142,0.9304343877893012,1,1,2,2,3,1,1,1,0,2,-1.017635115
151,182 Fleet Street,Kensington,2,2,0.3338608739537206,0.4486115126626055,1,1,1,2,2,1,0,0,1,2,0.8282905670451064
152,113 Baker Street,Camden,2,3,0.006428024,1.1025139860488353,0,1,2,2,0,0,1,1,1,1,-0.319495418
153,152 Piccadilly Circus,Greenwich,5,2,0.7129936477616934,-1.30660039,0,0,1,1,3,1,3,0,0,2,0.078725729
154,58 Fleet Street,Greenwich,5,1,1.3506260400751022,-0.721529756,1,1,1,2,0,2,0,0,0,1,-0.019122896
155,10 Bond Street,Soho,3,3,1.3678593479754646,1.2401776646564626,1,1,2,0,0,0,2,2,2,0,0.337379466
156,88 Camden High Street,Marylebone,2,3,-1.699669458,-0.996857113,1,1,3,1,2,0,0,2,2,1,-1.224026309
157,87 Oxford Street,Notting Hill,1,3,0.7302269556620558,-1.409848149,0,0,3,2,0,0,3,1,2,2,0.7017711575773586
158,54 Oxford Street,Kensington,4,1,0.2993942581529958,-1.409848149,0,1,3,0,2,0,0,3,3,2,0.3123484224781436
159,198 Strand,Shoreditch,5,3,-1.268836761,1.0336821467450217,1,1,3,0,1,2,2,0,2,1,-1.460304569
160,113 Fleet Street,Greenwich,1,1,0.3683274897544454,0.6206911109221397,1,1,2,1,1,2,1,0,0,1,-0.148829212
161,24 Regent Street,Chelsea,5,3,0.7474602635624181,0.8960184681373944,0,0,3,0,2,1,1,0,3,1,0.8334492375594704
162,136 Camden High Street,Notting Hill,2,1,1.6608255822816254,0.345363754,0,1,3,1,1,1,2,4,3,0,2.3838572820669515
163,170 Bond Street,Soho,3,3,-1.148203605,-1.478679988,1,1,2,0,2,2,3,4,3,0,-1.213028579
164,186 Oxford Street,Kensington,1,2,-0.252071595,-0.687113836,0,0,1,2,3,1,3,0,3,2,0.2402897370599216
165,63 Piccadilly Circus,Islington,1,1,-0.838004063,0.9304343877893012,0,0,1,1,1,0,3,3,0,1,-0.715441015
166,184 Bond Street,Kensington,4,1,1.5057258111783638,-0.790361595,0,1,1,2,1,2,3,0,1,0,2.004295640339592
167,20 Piccadilly Circus,Shoreditch,5,3,0.6095938003595189,-0.549450157,1,0,3,0,1,0,2,1,2,1,-0.5508437
168,180 Strand,Westminster,2,2,1.4195592716765517,-1.100104872,0,1,1,2,2,1,3,4,3,2,1.7066537774023103
169,13 Camden High Street,Kensington,4,1,1.2644595005732902,1.0336821467450217,1,1,3,0,1,2,2,4,2,2,1.1194095675962283
170,173 Oxford Street,Kensington,3,2,0.04089464,-0.033211362,1,1,2,1,0,2,2,2,1,0,1.1914693907891558
171,66 Baker Street,Shoreditch,3,1,1.2472261926729278,1.6531687004793447,0,1,1,0,1,0,2,2,1,0,-0.242126738
172,118 Park Lane,Marylebone,2,1,1.4023259637761893,-0.721529756,0,0,1,0,1,2,1,2,1,0,0.5338356110576996
173,28 Fleet Street,Islington,5,3,-0.458871289,1.3778413432640901,0,0,3,1,1,0,3,2,0,2,-0.415068493
174,122 King's Road,Islington,2,1,0.6268271082598814,-0.30853872,0,0,2,1,3,0,0,4,3,0,0.44508918403511555
175,193 Regent Street,Greenwich,1,1,-0.78630414,1.6531687004793447,1,0,1,1,3,2,1,0,3,1,-0.911138265
176,162 Camden High Street,Westminster,2,3,0.42002741345553257,0.551859272,1,1,3,1,3,1,0,0,3,2,1.4690864189110853
177,12 Camden High Street,Notting Hill,3,1,0.4027941055551702,-1.27218447,0,0,3,0,3,0,0,0,2,2,0.005149252
178,77 Oxford Street,Soho,1,2,-0.545037829,-0.067627282,1,0,2,1,2,0,2,1,2,0,-0.214820145
179,146 Piccadilly Circus,Westminster,3,2,-1.561802995,-0.30853872,0,0,3,0,0,2,1,3,0,1,-1.288879467
180,162 Baker Street,Notting Hill,3,3,0.9887265741674918,0.345363754,1,0,1,0,1,2,0,3,3,1,0.4177825911050897
181,150 Camden High Street,Notting Hill,3,1,1.0748931136693038,-1.616343666,0,0,1,0,2,1,0,0,1,2,0.47846352946913423
182,41 King's Road,Marylebone,2,3,1.385092655875827,0.6551070305740465,1,0,3,2,3,2,2,4,0,1,1.0458342284956845
183,6 Bond Street,Islington,4,1,-1.389469916,-0.549450157,1,0,1,0,3,2,0,2,2,1,-1.466372321
184,109 Strand,Notting Hill,1,2,-1.544569687,1.6875846201312517,1,1,3,2,0,0,3,1,1,2,-1.220612985
185,85 Regent Street,Soho,1,2,-1.11373699,-0.755945675,1,0,1,2,2,2,1,4,3,1,-1.011262439
186,104 Park Lane,Shoreditch,5,1,-0.769070832,0.24211599475116447,1,1,1,2,3,0,2,3,0,1,-1.043120131
187,30 Bond Street,Shoreditch,4,3,-0.855237371,-0.824777514,0,0,1,1,0,2,3,4,1,1,-0.842871782
188,84 Camden High Street,Islington,1,1,0.3166275660533582,0.8960184681373944,0,0,2,0,0,0,3,1,3,0,-0.565254754
189,139 Strand,Camden,4,3,1.0059598820678541,1.3778413432640901,1,1,2,2,0,2,3,4,3,0,0.3668091465276693
190,127 Camden High Street,Westminster,3,1,-1.613502919,1.3090095039602765,1,0,3,0,2,1,1,2,3,2,-1.329839356
191,114 Park Lane,Islington,1,2,1.4540258874772765,-1.478679988,1,0,3,2,0,2,1,0,0,2,0.4614731397931311
192,52 Bond Street,Chelsea,1,3,1.0231931899682165,0.8616025484854876,0,0,3,2,3,2,0,4,1,2,1.710294656459647
193,171 Piccadilly Circus,Kensington,2,1,0.7991601872635054,1.3434254236121832,0,0,1,1,2,0,0,0,3,0,2.142649045
194,175 Piccadilly Circus,Islington,5,1,-1.3550033,-1.168936711,1,1,1,1,3,1,1,2,0,1,-1.125039909
195,47 Regent Street,Kensington,4,2,0.868093419,-0.30853872,0,0,1,2,2,2,1,2,2,2,1.3644100082379473
196,199 King's Road,Westminster,2,3,0.023661332,-0.480618318,1,1,1,2,2,0,2,3,3,1,0.3795533610030535
197,47 Regent Street,Soho,2,1,-0.78630414,0.035620476839723456,1,1,3,1,1,2,0,4,2,1,-0.437823987
198,139 Strand,Soho,4,3,1.6608255822816254,-1.616343666,1,1,2,2,2,2,0,3,1,2,1.0403729099096792
199,32 Piccadilly Circus,Marylebone,1,1,-1.217136837,-0.377370559,0,0,1,0,3,2,2,3,2,1,-1.195581941
200,149 Park Lane,Greenwich,1,3,1.4884925032780014,0.7927707091816738,0,1,3,0,0,2,1,3,1,2,-0.304325468
201,186 Baker Street,Islington,1,3,-0.562271137,1.1025139860488353,0,1,3,2,2,1,0,4,3,1,-0.816475409
202,119 Baker Street,Soho,4,2,-0.613971061,-0.687113836,0,1,2,1,0,0,3,2,3,0,-0.278535529
203,189 Bond Street,Greenwich,2,2,-1.3550033,-0.996857113,1,0,1,0,1,1,1,3,2,1,-1.555877644
204,157 Fleet Street,Notting Hill,4,1,-1.251603453,-1.685175506,0,1,3,0,3,2,3,1,1,1,-1.159932046
205,143 Strand,Greenwich,1,1,1.2644595005732902,-0.480618318,0,1,1,1,2,2,1,1,3,2,0.4428136346242801
206,112 Fleet Street,Camden,4,3,0.868093419,-0.205290961,0,0,2,2,3,2,2,3,2,1,0.272146291
207,162 Park Lane,Kensington,4,2,-0.838004063,1.618752780827438,1,0,2,0,0,2,0,2,2,2,-0.638831231
208,130 Strand,Camden,3,3,0.2304610265515462,1.1025139860488353,1,1,2,1,3,2,0,3,3,0,0.3165206423229105
209,144 Baker Street,Soho,3,2,1.0921264215696662,-0.446202398,1,0,3,2,1,1,1,2,1,2,0.619851379
210,172 Fleet Street,Soho,5,1,-1.492869763,1.171345825352649,1,0,1,2,0,0,0,4,3,1,-1.291610126
211,63 King's Road,Soho,2,1,-0.183138363,-0.033211362,1,0,2,0,0,1,3,3,0,2,-0.618351287
212,16 Fleet Street,Kensington,1,2,0.9025600346656798,-0.480618318,1,1,1,0,0,0,2,4,2,2,0.8167614959551084
213,77 Piccadilly Circus,Islington,1,1,-0.751837524,1.4466731825679038,0,0,3,0,0,1,3,2,2,1,-1.129591008
214,48 Fleet Street,Camden,4,1,-0.0452719,-0.721529756,1,1,3,0,3,1,3,3,3,2,-0.644898984
215,168 Piccadilly Circus,Kensington,3,2,-1.596269611,0.035620476839723456,0,1,1,0,2,2,0,4,1,0,-1.272950621
216,163 Baker Street,Westminster,2,2,-0.355471442,0.10445231614353713,1,0,2,1,1,0,1,0,2,2,0.5474889075227125
217,41 Bond Street,Camden,5,1,-0.424404674,-1.616343666,1,0,2,2,3,1,3,4,3,0,-0.615317979
218,159 King's Road,Kensington,3,2,0.8853267267653174,0.070036396,1,1,1,0,1,0,2,1,3,1,0.8023504415362872
